id,headlines,text,ctext,ctext_len 
925,Big B reveals he wrestled a real tiger in Khoon Pasina,"Amitabh Bachchan has revealed that he wrestled a real tiger in the 1977 film 'Khoon Pasina'. ""Fighting a real tiger for 'Khoon Pasina'... a real task... shared it with stunt directors of today... they thought I was mad,"" he wrote on Twitter while sharing a photo from the film's set. The film also starred Rekha and late actor Vinod Khanna.","One of the most active Bollywood stars on social media, who keeps giving his fans an opportunity to know him better today shared a picture from his 40 year old hit film Khoon Pasina, where he is seen fighting a tiger.T 2489 - Fighting a real tiger for 'Khoon Pasina' .. a real task .. shared it with stunt directors of today .. they thought I was MAD .. pic.twitter.com/4aXJqOSmIt? Amitabh Bachchan (@SrBachchan) July 18, 2017In the black and white picture, Bachchan can be seen lying on the ground, his arms around the tiger, shooting the daring scene. Earlier too the megastar walked down the memory lane and shared a black and white picture with co-star Dharmendra from his movie Sholay.The photo was taken while the duo rehearsed for a scene.Big B captioned the Instagram image as, ?Rehearsing for SHOLAY ..?",140
928,Despacito beats Bieber's Sorry to become most streamed song,"The song Despacito by Puerto Rican artists Luis Fonsi and Daddy Yankee and its remix featuring Justin Bieber beat the 2015 song Sorry, also by Bieber, to become the most streamed track ever. Despacito has recorded 4.6 billion plays across platforms. The Despacito remix has also been leading the Billboard Hot 100 chart for the 10th week.","Despacito has become the most streamed track of all time with more than 4.6 billion plays across streaming platforms.Universal Music Latin Entertainment announced Tuesday the song by Puerto Rican artists Luis Fonsi and Daddy Yankee and the accompanying remix featuring pop star Justin Bieber had surpassed the previous record holder ? Bieber?s 2015 hit song Sorry, which has 4.38 billion plays. Despacito, which was released in January, has been at the top of Billboard Hot 100 for weeks.Fonsi said in a statement that streaming has helped his music reach every corner of the planet.Daddy Yankee recently ousted Ed Sheeran this year to become the first Latino artist to lead in Spotify streams, thanks in part to Despacito?s success.Follow @htshowbiz for more",120
933,"BMC demolishes nearly 150 illegal shop extensions, stalls","The Brihanmumbai Municipal Corporation on Tuesday demolished over 100 illegal shop extensions and 40 stalls near Santacruz station. The action was part of a drive by the corporation to free the public spaces from encroachments. The officials said that some of the stalls, which were at least four years old, did not have licenses to erect the sheds.","The Brihanmumbai Municipal Corporation (BMC) demolished 40 illegal food and clothing stalls and razed extensions of more than 100 stores near Santacruz station on Tuesday. An H/West ward official said 40 stalls that were blocking traffic were demolished at Tilak Road, MG Road and Kanubai Desai Road in Santacruz (west). The official said that the stalls were at least four years old. ?We checked if they had licenses and they didn?t,? added the official.The BMC also took action against at least 100 stores on these roads that had put up illegal sheds. The stores were in the allotted area but the sheds were encroached on footpaths, said an official who supervised the demolition. The action is part of a BMC drive against establishments setting up sheds and stalls that encroach onto public spaces ? meant to be kept free and open for easy access by fire engines in case of an emergency. Every monsoon, several establishments across Mumbai erect sheds without the civic body?s permission. ",165
942,Goa can import beef from Karnataka: CM Manohar Parrikar,"To avoid a shortage of beef, the BJP-led government in Goa has not blocked the option of getting the meat from Karnataka's Belgaum, Goa CM Manohar Parrikar said on Tuesday. Adding that around 2,000 kg of beef was produced daily at Goa's only legal slaughterhouse, Parrikar said the slaughterhouse can increase production if traders bring in more animals.","To avoid beef shortage in Goa, chief minister Manohar Parrikar on Tuesday said the BJP-led government had kept open its option of importing it from Karnataka.Parrikar told the Goa assembly: ?We have not closed the option to stop getting meat from Belgaum (in Karnataka) to ensure that there is no shortage. ?I can assure you that inspection of beef from the neighbouring state will be done by a proper and authorised medical doctor, and not others,? he said in response to a question by BJP MLA Nilesh Cabral.Parrikar also said around 2,000 kg of beef was slaughtered daily at the state?s only legal abattoir, the Goa Meat Complex, at Ponda, around 40 km from here.?The rest (of the beef demand) is met by Karnataka,? Parrikar said. ?The government does not have any intention to restrict bringing animals for slaughter at the Goa Meat Complex from the neighbouring state.?Beef is commonly consumed in the state?s tourism belt as well as by Goa?s minorities, which account for more than 30% of the state?s population.",171
944,Illegal sand mining uncovered along Yamuna in Noida,"Police and the state mining department on Tuesday found that illegal sand mining was taking place in Greater Noida on two plots near the Yamuna river. Authorities said that they have recovered around 18,126 cubic metres of sand from the plots in Sikandarpur and Murshadpur. The plot owners were booked and issued notices worth ?70 lakh.","Police and the state mining department have detected illegal sand mining on two plots along the Yamuna river in Greater Noida, the district magistatre said on?Tuesday.DM BN Singh told PTI that illegal mining was detected on two plots in Sikandarpur and Murshadpur along Yamuna river and around 18,126 cubic metres of sand was recovered from the sites.An FIR has been lodged and notices worth Rs 70 lakh have been issued to the plot owners, he said.Singh said that SDM Sadar Anjani Kumar led the team comprising police officials and the mining staff. ",92
953,China asks India for urgent withdrawal to avoid escalation,"China on Tuesday called for an immediate withdrawal of Indian troops that illegally crossed the boundary so as ""to avoid escalation"". China's Foreign Ministry said, ""The illegal trespass by the Indian border personnel has drawn extensive attention from the international community."" China also asserted that India should not use illegal trespass as a ""policy tool"" to realise its political targets.","China today called for an ""immediate withdrawal"" of Indian troops at Doklam ""to avoid escalation"", even as Beijing briefed foreign diplomatic missions in China on the stand-off at the trijunction.""We have reiterated our position,"" Foreign Ministry spokesperson Lu Kang said. ""We hope the Indian side can get a clear understanding of the current situation and take immediate measures to bring back the personnel that illegally crossed the boundary so as to avoid escalation.""On the briefing with the foreign diplomatic missions in Beijing, Lu said: ""The illegal trespass by the Indian border personnel has drawn extensive attention from the international community.""""Many foreign diplomatic missions in China said they were shocked by this and wanted to confirm whether it was true with the Chinese side,"" he said. ""China maintains close communication with foreign diplomatic missions on issues they are interested in.""Lu said China ""also stressed that facts are very clear in this incident.""""The Sikkim section is mutually recognised by two sides and this time Indian border personnel illegally trespassed the boundary into China's territory,"" he said. ""We stressed the Indian side should not take a trespass as policy tool to realise their political target.""ALSO READ:",192
961,Demolition of 'illegally built' temple in Delhi postponed ,"Delhi authorities have postponed the demolition of a temple allegedly built illegally in east Delhi's Shahdara. The Delhi High Court had ordered the demolition for Tuesday, but the Public Works Department said it was postponed to August due to 'administrative reasons'. This comes after a religious group warned of protests if the temple is demolished, reports said.","New Delhi, Jul 17 (PTI) The authorities have postponed the demolition of a temple, allegedly built illegally at east Delhis Shahdara, due to ""administrative reasons"", the police said today. The temple was to be demolished today but the authorities have postponed it to August 21. ""We have received a letter from the Public Works Department (PWD) communicating the change of date,"" said a senior police official. ",66
975,Shortage of over 5 lakh police personnel in India,"The Union Home Ministry on Tuesday told the Parliament that there is a shortage of over 5 lakh police personnel from the authorised strength of over 22 lakh in the country. It also admitted that there are only 3,905 Indian Police Service (IPS) officers in service in place of the required 4,843 IPS officers.","There is a shortage of over 5 lakh police personnel in the country as compared to their overall sanctioned strength, the government told Parliament on Tuesday.The union home ministry, in a written reply to the Lok Sabha, also said that there are fewer Indian Police Service (IPS) officers in position across the country, than their authorised strength.?As on January 1, 2017, there are 3,905 IPS officers in position against an authorised strength of 4,843,? minister of state for home Hansraj G Ahir said.The minister said that according to the Bureau of Police Research and Development (BPRD), as on January 1, 2016, against the authorised strength of 22,80,691, there are 17,31,666 police personnel in position.Ahir said about 150 officers are recruited every year in the IPS and the central government reviews the strength and composition of each state IPS cadre, ordinarily at the interval of every five years.?Since 2014, cadre review of 11 cadres has already been notified by the central government,? he said. ",163
977,"Naked thief steals shoes, utensils from bank instead of cash","Security footage from a State Bank of India branch in Pathankot showed a naked man stealing the guard's shoes, two pressure cookers, and a pan, instead of money. He had entered the bank through a hole he dug. The manager said that the CCTV footage showed the man trying to break the locker but failing to do so.","A burglary at a State Bank of India branch in Pathankot has left everyone befuddled after the thief made away with the guard?s shoes and some utensils, leaving the money untouched. The strange case of robbery occurred at the branch at Jugial, and was discovered when officials found a broad hole dug up near the rear wall of the bank.Security footage from CCTV cameras showed a naked man entering the bank through the hole dug by him at around 2:54 am  on Monday. He spent more than an hour at the bank before escaping the same way he came, taking with him a pair of shoes, two pressure cookers, and a pan.Regional manager Vipin Mittal, who lodged a complaint at the Shahpur Kandi police station, claimed that the CCTV footage showed the man trying to break the locker but in vain.Police are trying to identify the person using the footage. It is suspected that the man could be mentally challenged.",160
981,Pakistan's High Court lifts ban on airing Indian TV serials,"Lahore High Court on Tuesday lifted a ban on the airing of Indian television serials in Pakistan. The court stated that ""the world has become a global village"" while questioning for how long such ""unreasonable restrictions"" could be imposed. The court noted that instead of a blanket ban, Indian content with ""objectionable"" or ""anti-Pakistan"" content could still be censored.","A ban on airing Indian shows in Pakistan has been lifted by a Pakistani court. The said ban had been imposed by Pakistan Electronic Media Regulatory Authority (PEMRA), following the Uri attacks last year. The blanket ban had been put in place last October.However, a Lahore high court recently objected to the ban saying that a ban on anti-Pakistan content is understandable, but a blanket ban is not needed.The court said that ""the world has become a global village"" and asked how long ""unreasonable restrictions"" can be imposed, Dawn reported.   ",90
982,36 lakh bank accounts saw cash deposits of ?10 lakh or more,"Union Minister Santosh Gangwar has said that over 36 lakh bank accounts witnessed cash deposits of ?10 lakh or more, in a financial year. However, Gangwar didn't specify the financial year of these deposits. Notably, I-T rules state banks must report cash deposits aggregating ?10 lakh or more in a financial year, in one or more accounts of a person. ","New Delhi, Jul 18 (PTI) Over 36 lakh bank accounts have seen cash deposits of Rs 10 lakh or more in a financial year, Parliament was informed today. Rule 114E of the Income Tax Rules says banks, including cooperative banks, have to report to taxmen cash deposits aggregating to Rs 10 lakh or more in a financial year, in one or more accounts (other than a current account and time deposit) of a person. ",74
994,Govt asks states to file FIRs over violence in cow's name,"The Centre has asked all the states to compulsorily file FIRs in all 'untoward incidents' happening in the name of cow protection, the Lok Sabha was informed on Tuesday. The Centre said that the responsibility to maintain law and order and preventing incidents of attacks on cattle traders, beef eaters, Muslims, Dalits and dairy farmers rests with the states.","The Centre has asked state governments to compulsorily register FIRs in all ?untoward incidents? happening in the name of cow protection, the Lok Sabha was informed on Tuesday.Minister of state for home Hansraj Ahir said the responsibility to maintain law and order, protect life and property and incidents of attacks on cattle traders, beef eaters, Muslims, Dalits and dairy farmers rests primarily with the state governments.An advisory with regard to untoward incidents over cattle, disturbance of law and order by miscreants in the name of cow protection, compulsory registration of an FIR for cognisable offences irrespective of territorial jurisdiction, and making available a copy of the FIR has been issued to states/UTs, he said replying to a written question.Prime Minister Narendra Modi had on Sunday sought to put the onus for checking cow vigilantism on state governments, insisting that they take ?stringent action against anti-social elements?.The prime minister also sought the support of opposition parties in tackling ?communal violence? in the name of cow protection, and deprecated attempts at giving a political or communal colour to the issue. ",178
995,"Govt has scrapped 1,200 laws for startups: NITI Aayog CEO","NITI Aayog CEO Amitabh Kant has said the government has scrapped around 1,200 complex laws for easy registration of startups to encourage entrepreneurs. ""Today one can register a company in a day and for an MSME, it takes around five minutes to register,"" he added. Kant also explained that entrepreneurship has to be promoted to create wealth in India.","New Delhi, Jul 18 (PTI) The government has scrapped around 1,200 complex laws and procedures for easy registration of startups to encourage entrepreneurs in the country, Niti Aayog CEO Amitabh Kant today said. To create wealth in the country, entrepreneurship has to be promoted, Kant said adding the government has taken lot of steps especially for MSMEs. ""In the last two years, we have tried to dismantle lot of rules and laws, procedures and paperwork. We have scrapped about 1,200 laws which has never happened before,"" Kant told reporters here at an event. He was speaking at the entrepreneur India 2017 conference, where business investors, startups, SMEs and professionals met for networking and to discuss possible business ideas, among others. ""Today one can register a company in a day and for an MSME, it takes around five minutes to register,"" Kant said. ",142
997,IAS officer's son found dead under mysterious circumstances,An 18-year-old son of Maharashtra Housing and Area Development Authority's Vice President Milind Mhaiskar and Urban Development Department's Principal Secretary Manisha Mhaiskar was found dead under mysterious circumstances in Mumbai. The police are trying to find out whether it was a case of suicide or if he was pushed from the 20th storey of the building.,"?An 18-year-old son of MHADA vice-president Milind Mhaiskar and principal secretary of Urban development department Manisha Mhaiskar was found dead under mysterious circumstances. The police are yet to ascertain whether this is a case of suicide or he was pushed from the 20th storey of the building.According to police, around 7.30am on Tuesday, they got a call from a local alleging a youth had fallen off posh Dariya Mahal apartment in Napean Sea Road.The deceased was identified as Manmat and his family members were informed. He was taken to a nearby hospital, where he was declared dead.Manmat left the house at 7am to meet his friend, said police.The Malabar Hill police have registered a case of accidental death.The body has been sent to JJ hospital for post-mortem. ",127
1003,Harry Potter actor Daniel helps tourist attacked by robbers,"'Harry Potter' actor Daniel Radcliffe helped a tourist who was attacked by two men on bikes in London. The victim was walking when the men stole his bag and left him with an injury. ""He was a really nice bloke, a lot of stars wouldn't have stopped to help,"" said a former policeman who tried to intervene during the robbery.","Harry Potter star Daniel Radcliffe rushed to the aid of a man attacked by two men on mopeds in London.The victim, a tourist, was walking down London?s fashionable King?s Road, when two men on a moped stole his bag and left him with a facial injury, reported the Evening Standard.A former policeman tried to intervene and managed to scare off the robbers by ?shunting? his car against their moped. When he returned to the scene of the crime, he noticed Daniel Radcliffe consoling the victim.?It was a bit of the surreal moment, I said ?you?re Daniel Radcliffe? and he replied ?I am?,? the ex-counter terror unit officer said.?He was a really nice bloke, a lot of stars wouldn?t have stopped to help,? he continued. ?The victim was very, very shaken up.?The Evening Standard reached out to Radcliffe?s spokespeople, who confirmed he was present at the incident, but refused to comment further.Follow @htshowbiz for more",153
1009,Marathi actress molested in Mumbai movie theatre ,"A Marathi actress was molested by a person sitting behind her in a movie theatre in Mumbai. The incident took place when the actress was out with her daughter. Following the incident, she filed a police complaint against the accused and the police later stated that the accused was drunk.","Popular Marathi actor Priya Berde, wife of late actor Laxmikant Berde, was reportedly molested in a theatre hall in Mumbai. The incident took place when the actor was out with her daughter.According to an India.com report, a person sitting behind the actor started molesting her and later even assaulted her. The actor immediately alerted the theatre security after which the person was arrested. She also filed a police complaint against the accused.Police later clarified that the accused was drunk and was continuously disturbing the actor.Priya is a noted singer-dancer who routinely features in Marathi films.Follow @htshowbiz for more",97
1012,PremjiInvest buys 3.26% stake in Future Lifestyle for ?196cr,"PremjiInvest, the investment arm of Wipro Chairman Azim Premji, on Monday bought 3.26% stake in Kishore Biyani's Future Lifestyle Fashions for nearly ?196 crore. Future Lifestyle Fashions runs fashion labels such as Indigo Nation, Scullers, and Mother Earth. The shares were sold by Bennett Coleman & Company and India Opportunities Growth Fund - Pinewood Strategy. ","New Delhi, Jul 17 (PTI) PremjiInvest, the investment arm of Wipro Chairman Azim Premji, today bought 3.26 per cent stake in Kishore Biyanis Future Lifestyle Fashions Ltd (FLFL) for nearly Rs 196 crore through open market transactions. As per the block deal data available with NSE, PI Opportunities Fund 1, part of PremjiInvest, today purchased 62 lakh shares, or 3.26 per cent stake, in FLFL. The shares were acquired at an average price of Rs 316 apiece, valuing the transaction at Rs 195.92 crore, according to the data. ",88
1018,Man held for extracting money by posing as ticket examiner,"A man named Pravesh Rawat has been arrested after he was found extracting money from passengers on a train posing as a Travel Ticket Examiner (TTE). He was issuing ""receipts"" to passengers travelling without ticket and collecting ""fine"" from them on board the train from Dehradun to Delhi. He was arrested after suspicious travellers alerted the Government Railway Police.","A man has been arrested here after he was allegedly found extracting money from passengers on a train posing as a Travel Ticket Examiner (TTE), officials said. Pravesh Rawat was issuing ""receipts"" to some passengers who were travelling without ticket and collecting ""fine"" from them on board the train from Dehradun to Delhi yesterday, an official of the Government Railway Police (GRP) said. However, some frequent travellers soon got suspicious of his actions and alerted the GRP, he said. ",79
1020,"Father, son arrested with stolen items in Delhi","The Delhi police arrested a father-son duo, who would buy stolen items from pickpockets and then sell them for a profit, from Mangolpuri. The father allegedly also used to teach theft to young boys and charge a commission from them. Cops nabbed them after a tip-off and seized ?2 lakh, 54 phones, 11 laptops, and a car from their possession.","The police have arrested a father-son duo, along with stolen items from pickpockets and mobile snatchers in the Capital. The accused, Nand Kishor alias Karate has been a dreaded history sheeter since the the last 25 years, operating in Sultanpuri area. He has also taught his son Subhash and several others the tricks of the trade of which has been a master. Sources said he had been taking commissions from young thieves. Karate is reportedly involved in as many as 65 cases of laptop and mobile theft at different police stations of the city. Besides, 42 other cases of robbery, NDPS, arms act, theft, pick-pocketing and house theft are registered against him in Sultanpuri police station alone. MN Tiwari, DCP of outer district said that father-son duo were nabbed following tip-off. ",131
1021,Kapil Sharma wishes Sunil Grover on his 40th birthday,"Comedian Kapil Sharma took to Twitter to wish Sunil Grover on the occasion of his 40th birthday today. ""Wish you a very happy birthday Sunil paji... May God bless you with all the happiness of this world. Lots of love always,"" tweeted Kapil. Notably, Sunil had left Kapil's show following a feud between them.","Popular comedian Kapil Sharma wished his former team member Sunil Grover on his birthday.  He took to Twitter and wrote, ""Wish u a very happy birthday @WhoSunilGrover paji ... may god bless u with all the happiness of this world. Lots of love always :)"" Wish u a very happy birthday @WhoSunilGrover paji ... may god bless u with all the happiness of this world. Lots of love always :)Kapil has always maintained that Sunil Grover is like a brother. In a recent live chat on Twitter, Kapil had revealed that he missed spending time with his old team. He had also said that Sunil Grover was like his brother, and that he would welcome him with open arms whenever he decided to return to the show. TKSS member Sumona Chakravarti also wished Sunil on Twitter with a sweet message. She wrote, "" Happppyyyy Birthdayyyy @WhoSunilGrover Big hug to u... have an awesome kickass year."" Happppyyyy Birthdayyyy @WhoSunilGrover Big hug to u... have an awesome kickass year... ð???ð???ð?¤?ð??»ð??? pic.twitter.com/93OPrFN1Ps",168
1025,Russian reporter punched in face during live broadcast,"A reporter was punched in the face during a live broadcast as he reported on celebrations by paratroopers in Moscow on Wednesday. A man staggered up to Nikita Razvozzhayev and began ranting about Russia invading Ukraine, following which Razvozzhayev asked him to be quiet. The man punched Razvozzhayev, screaming, ""If you talk to me like that you'll... get it.""
","A Russian television journalist was punched in the face live on air Wednesday as he reported on raucous annual celebrations by paratroopers in Moscow.  Nikita Razvozzhayev, a correspondent with the pro-Kremlin NTV channel, was extolling the professionalism of Russia?s airborne forces when a bearded man staggered up to the presenter and began an expletive-laden rant about invading Ukraine. When the reporter asked him to be quiet, the man then punched the journalist hard in the face forcing him to stop his broadcast. ?If you talk to me like that you?ll... get it,? the man screamed.The incident in Moscow?s famed Gorky Park ? which left the anchor back in the studio stunned ? quickly went viral in Russia with over 400,000 people viewing it on NTV?s website. Law enforcement officers detained the 32-year-old assailant and opened a criminal probe into the assault, NTV reported. The annual paratrooper holiday regularly brings drunken bedlam to city streets and parks around Russia as former and current members of the elite units cut loose. Police said that the attacker ? identified as a Russian nationalist Dmitry Orlov ? has never served in the paratroopers.",189
1030,Maharashtra government considers relocating tigers,Maharashtra Forest Minister Sudhir Mungantiwar on Wednesday told the Legislative Council that the government is planning to relocate tigers from Vidarbha region to sanctuaries where tiger population is smaller. He added that the deaths of most tigers happen due to territorial fights caused by over-population. A committee has reportedly been formed to examine the proposal. ,"Mumbai, Aug 1 (PTI) The Maharashtra government is planning to relocate tigers from Vidarbha region to the sanctuaries elsewhere where their population is smaller, including the Sahyadri Tiger Reserve (STR). State forest minister Sudhir Mungantiwar told the Legislative Assembly today that the government had set up a committee to examine this issue, and a decision will be taken based on its recommendations. ",62
1038,Bihar MLA reaches Assembly with bruised knees wearing shorts,"BJP MLA from Lauria, Vinay Bihari, on Thursday reached the Bihar Assembly wearing vest and shorts with injury marks on his knees. He said that he was protesting for the non-construction of roads in his constituency and came travelling the distance by prostrating on road. Earlier, he had vowed not to wear kurta-pyjama until roads were constructed in his constituency.","BJP MLA from Lauria, Vinay Bihari today reached the Bihar Assembly in most unusual way and state.When he reached the Bihar Assembly, he was bruised with injury marks on his knees.He was wearing vest and shorts as he entered the Assembly today.This was a kind of individual protest march by Vinay Bihari, who is highlighting non-construction of roads in his constituency.Vinay Bihari said, ""Chief Minister Nitish Kumar had assured him to construct road in his area but till now nothing has been done and therefore he took to this unique mode of protest.""Vinay Bihari had taken a vow a few months back that unless roads were constructed in his constituency, he would not wear Kurta-Pyjama.",114
1040,Ex-Arunachal CM Pul's wife withdraws petition from SC,"Former Arunachal Pradesh CM Kalikho Pul's wife Dangwimsai Pul on Thursday withdrew her Supreme Court petition seeking a CBI-probe into the allegations made in his purported suicide note. She said she did not want the court to decide her matter as that ""will lead to closure of other remedies"". Notably, Pul was found hanging at his official residence in August.","Former Arunachal Pradesh Chief Minister Kalikho Pul's wife Dangwimsai Pul today withdrew from the Supreme Court her petition seeking CBI probe into the death and the allegations levelled in a purported 'suicide note' he left behind.Â Withdrawing her petition, Dangwimsai Pul said she does not want the apex court to decide her matter as it ""will lead to closure of other remedies"". The former Arunchal Pradesh Chief Minister was found hanging in a bedroom of his official residence in the posh Niti Vihar area of state capital Itanagar on August 9 last year.",91
1045,"Tickets costing ?76,000 for Bieber's India concert sold out","The highest priced tickets, which cost ?76,000, for singer Justin Bieber's India concert have been sold out after the ticket sale went live on Wednesday. The VVIP 2 category tickets worth ?58,030 have also been sold out. The lowest priced tickets for the concert, scheduled for May 10 at DY Patil Stadium in Mumbai, cost ?4,060.","Justin Bieber's Mumbai concert might be months away, but it has already caused ripples in the hearts of his many fans in the country. And while the news of the ticket prices going all the way upto Rs 76,000 made jaws drop, our doubts have now been confirmed.The ticket sales for Bieber's Mumbai concert went live on BookMyShow.com at approximately 12:15 pm today, and we were already 9818th in queue by 12:45 pm. But that doesn't matter. What matters is that the tickets start at Rs 4,060 and go upto Rs 76,790.Also Read: It's official, guys; Justin Bieber is coming to IndiaTo be held on May 10, 2017, at Mumbai's DY Patil stadium, the concert will be Bieber's first in India and will be a part of his Purpose world tour. The ticket categories for the concert have been divided into Diamond (Rs 25,200), Platinum (Rs 15,400), Gold (Rs 10,080), Silver (Rs 7,700) and GA (Rs 4,060). But wait, what about the VIPs and VVIPs of the world? ",168
1050,Plane escorted by jets was training flight for pilot: Report,"The London-Mumbai Jet Airways flight that was escorted by German fighter jets after it lost contact over European airspace was a training flight for the pilot-in-command, according to reports. The flight lost contact with Air Traffic Control due to a ""frequency goof-up"" and its pilot missed contact attempts on emergency frequency ""due to howling noise,"" the reports added.","New Delhi, Feb 21 (PTI) The Jet Airways aircraft flying from London, which lost contact with the ATC over European airspace while on its way to Mumbai, was a training flight for the pilot-in-command at the time of the incident, sources said. The incident happened on February 16 when the Mumbai- London flight 9W-118, carrying 330 passengers and 15 crew members, lost contact with the Air Traffic Control (ATC) reportedly for almost 33 minutes. ""It was a training flight for the pilot on the commanders seat when it lost contact with the ATC due to frequency goof- up. Though, the Czech aviation authorities tried contacting the pilot of the flight 9W-118 on emergency frequency, the pilot missed it due to howling noise,"" airline sources said. A response from Jet Airways on the issue was awaited. According to information, the flight remained out of touch of ATC for nearly 33 minutes when it was flying over Czech airspace. While flying from Bratislava to Prague, 9W-118 was on correct frequency (132.890MHz) as it transmitted and acknowledged the messages. ",176
1056,Hater app projects image of pregnant Trump with Putin in US,"An image of a pregnant US President Donald Trump being hugged by Russian President Vladimir Putin from behind was projected on buildings in New York along with #LoveThroughHate. The image was a part of an ad campaign by the dating app Hater. ""We're just trying to make people laugh. Through humour, hate can turn into love,"" the app's representatives said.","The image of Russian President Vladimir Putin embracing the US President Donald Trump from behind was projected on some buildings in New York and neighbourhoods Williamsburg and Chelsea with hashtag #LoveThroughHate.More than being a part of an anti-Trump resistance which has lingered since he started campaigning for the US President post, this was a publicity stunt by a dating app.It wasn't entirely a politically driven move but an ad campaign by a dating app called Hater.Hater app matches potential dates based on the things people mutually hate. You can get yourself a date using Hater if both the persons hate a similar thing. Moreover, according to a Daily Dot report, more than 80 per cent of Hater's users say they hate Trump.",121
1062,Bihar Dy CM dares Modi to speak on BJP's alleged ISI links,"Bihar Deputy CM Tejaswi Yadav has dared PM Narendra Modi to address the alleged BJP links with Pakistan's intelligence agency ISI. ""Beware, the country is in danger. Self proclaimed and so called patriotic PM is totally mum on sponsorship of ISI agents by his party,"" he added. Notably, certain ISI operatives arrested in Madhya Pradesh allegedly had links with BJP.","Bihar Deputy Chief Minister Tejaswi Yadav has hit out at Prime Minister Narendra Modi challenging him to open his mouth of the issue of alleged links of BJP members with Pakistan's intelligence agency ISI.""I challenge 56 inch chested PM to open up his mouth on the deep rooted relations of BJP leaders with ISI agents. Break your silence and be loud Mr PM,"" tweeted Tejaswi Yadav, deputy Chief Minister of Bihar.Recently, the anti-terror squad of Madhya Pradesh had arrested 11 ISI operatives and one of the arrested person allegedly was relative of a sitting BJP corporator. The Congress had also alleged that Dhruv Saxena, another person arrested ISI operative was district coordinator of BJP's IT cell in Madhya Pradesh. Incidentally, pictures had surfaced of Dhruv Saxena attending event of Madhya Pradesh Chief Minister Shivraj Singh Chauhan.",135
1064,Pic of Ranbir from sets of Sanjay Dutt biopic shared online,A photograph of actor Ranbir Kapoor from the sets of the upcoming biopic on actor Sanjay Dutt has been shared online. Ranbir can be seen with long hair and is dressed in a shirt with a waistcoat and black trousers in the picture. Ranbir has reportedly gained 13 kilograms to portray Dutt in the film.,"So you thought Ranbir Kapoor was just a barfi? You doubted if he could get into the shoes of Bollywood's eternal bad boy Sanjay Dutt?Well, nay-sayers, here is the first look of Ranbir Kapoor from the sets of Dutt, a biopic that is being shot on the life of Sanjay Dutt, currently, by director Rajkumar Hirani.Tentatively titled Dutt, the film will focus on Sanjay's formative years, his relation with his father Sunil Dutt, his struggles coping up with the loss of his mother, his many affairs, etc.Paresh Rawal is playing the role of Sunil Dutt while Manisha Koirala, Sanjay's co-star in many film, is starring as Nargis, Sanju baba's mom. Anushka Sharma, Dia Mirza, Sonam Kapoor, Jim Sarbh and Vicky Kaushal play pivotal roles in the film.Ranbir Kapoor has not only grown his hair but has built up his physique to play Sanju baba. Of late, the Kapoor lad has also begun to resemble Sanjay Dutt in many ways. As of now, Dutt is scheduled to release around Christmas this year.",170
1066,Malaika Arora endorses designer Satya Paul's new collection,"Actress Malaika Arora has been appointed the ambassador of Indian fashion designer Satya Paul's Spring/ Summer 2017 sari collection. The collection, named 'Bohemian Rhapsody', celebrates the vibrant expressions of street art and the streets it is seen on. ""A sari is one of the most elegant and feminine garments. I think it flatters the female form beautifully,"" said Malaika. ","When you want to advertise the most beautiful garment ever made for the female body, whom would you choose to model for it?The woman with the hottest bod in the country, of course!So, Satya Paul is launching a new line of its signature six-yard wonders, and it's got none other than Malaika Arora Khan to advertise for it. Malaika, who shot in a vibrant sari for Satya Paul's spring-summer 2017 collection, says the six-yard wonder exudes elegance. ""A sari is one of the most elegant and feminine garments. I think it flatters the female form beautifully. I love the sari, especially for formal occasions,"" Malaika said in a statement.",108
1069,Modi is a dictator who wants to split India: Lalu,"RJD supremo Lalu Prasad Yadav has alleged that PM Narendra Modi is a dictator who wants to split India into parts. ""Prime Minister of the country should not be speaking in a manner which belittles his stature,"" he said. ""He should rise above party politics. He should talk about development and not destruction,"" Lalu added.","As RJD chief Lalu Prasad left for Uttar Pradesh today to campaign for the Congress and Samajwadi party alliance in Raebareli and Amethi on Tuesday, he made scathing attack on Prime Minister Narendra Modi calling him a dictator who was out to split the country in parts. Taking to Twitter, Lalu said Prime Minister of the country should not be speaking in a manner which belittles his stature.""Ye to tanashah pradhanmantri hai. Desh ke tukde tukde kar ke barbaad kar dega. Janab aap pradhanmantri ho, itni choti, aochi aur khoti baatein nahi karni chahiye"", tweeted Lalu.Lalu's strong reactions came a day after PM Modi at a rally in Uttar Pradesh leveled charges on the Samajwadi party govt that they were discriminating with people in supplying electricity during festival of Eid and Diwali, a comment which Lalu believed was made to communalise the polls.",142
